Clip Number,Date
00101,1937
00101,1938
00101,1939
00101,1940
00101,1941
00101,1942
00102,1942
00102,1943
00102,1944
00102,1945
00201,1959
00202,1959
00202,1960
00202,1962
00203,1959
00203,1960
00204,1960
00204,1961
00205,1961
00301,1962
00301,1963
00301,1964
00302,1963
00302,1964
00303,1964
00304,1963
00304,1964
00305,1964
00306,1964
00306,1965
00307,1965
00308,1965
00308,1966
00401,1966
00401,1967
00501,1967
00501,1968
00502,1968
00502,1969
00503,1970
00504,1971
00505,1972
00505,1973
00601,1973
00601,1974
00602,1980
00602,1981
00602,1982
00602,1985
00602,1983
00603,1986
00603,1987
00603,1988
00604,1960
00701,1988
00901,1988
01001,1988
01002,1963
01003,1988
01201,1989
01202,1989
01203,1989
01204,1989
01101,2000
01102,2000
01301,1989
01302,1990
01303,1990
01304,1991
01305,1991
01306,1991
01401,1990
01402,1990
01801,1997
02001,2001
02101,2002
02201,2007
01901,2000
01902,2000
01903,2000
01601,1990
01602,1990
02601,2012
02701,2011
02801,2010
02901,2002
03001,1999
03002,1999
03101,1996
03201,1991
03301,1990
03401,1990
03402,1990
03403,1990
03404,1990
03405,1991