Clip Number,Event
00101,Family Gathering
00102,Family Gathering
00201,Family Gathering
00202,Family Gathering
00202,Halloween
00203,Larry Highway Dept. bridges
00203,Family Gathering
00203,Christmas
00203,Zoo
00203,Bruce's birthday
00203,Easter
00204,Family Gathering
00204,Christmas
00204,Bruce's birthday
00204,Easter
00205,Bridge dedication (DI)
00205,Christmas
00301,Christmas
00301,Easter
00301,Bruce's birthday
00302,Halloween
00302,Christmas
00303,Christmas
00303,Bruce's birthday
00303,Easter
00304,Susan's birthday 
00305,Christmas
00305,Bruce's birthday
00305,Easter
00306,Family Gathering
00306,Susan's birthday 
00307,Church retreat
00307,Family Gathering
00307,Christmas
00307,Easter
00308,Susan's birthday 
00308,Family Gathering
00308,Christmas
00308,Easter
00308,Bruce's birthday
00401,Christmas
00401,Family Gathering
00401,Jan's wedding
00401,Bruce's birthday
00401,Six Flags
00501,Forman Scotty Show
00501,Susan's birthday 
00501,Family Gathering
00501,Bruce's birthday
00501,Easter
00502,Christmas
00502,Bruce's birthday
00502,Easter
00502,Family Gathering
00502,Susan's birthday 
00502,Halloween
00503,Scouting
00503,Family Gathering
00504,Family Gathering
00505,Family Gathering
00505,Susan's birthday 
00505,Christmas
00505,Bruce's birthday
00505,Camping
00505,Zoo
00601,Christmas
00601,Susan's birthday 
00601,Family Gathering
00602,Christmas
00602,Family Gathering
00602,4th of July
00603,Family Gathering
00603,Christmas
00603,Zoo
00604,Family Gathering
00604,Yellowstone vacation
00701,Family Gathering
00901,Susan's birthday 
00901,Family Gathering
01001,Family Gathering
01002,Family Gathering
01003,Thanksgiving
01201,Easter
01201,Family Gathering
01202,Family Gathering
01203,Family Gathering
01204,Family Gathering
01101,Family Gathering
01102,Aunt Dorothy 90th birthday
01301,Family Gathering
01302,Family Gathering
01302,Jake's birthday
01302,Donna's birthday
01303,Family Gathering
01304,Family Gathering
01305,Family Gathering
01306,Family Gathering
01307,Family Gathering
01401,Family Gathering
01401,Chase 50th anniversary
01402,Family Gathering
01801,Family Gathering
02001,Family Gathering
02101,Don and Dee's 50th anniversary 
02101,Family Gathering
02201,David Don's wedding
02201,Family Gathering
01901,Easter
01901,Family Gathering
01902,Family Gathering
01903,Family Gathering
01601,Family Gathering
01602,Halloween
01602,Zoo
01602,Family Gathering
02601,Andrew's Wedding
02701,Nicole's Wedding
02801,Family Gathering
02901,Family Gathering
02901,Family Reunion
03001,Jake's birthday
03002,Family Gathering
03101,Family Gathering
03201,Family Gathering
03301,Family Gathering
03401,Family Gathering
03402,Family Gathering
03403,Family Gathering
03404,Christmas
03405,Christmas